state	baseline_residential_lcoc	min_residential_lcoc	max_residential_lcoc	baseline_workplace_lcoc	min_workplace_lcoc	max_workplace_lcoc	baseline_comb_lcoc	min_comb_lcoc	max_comb_lcoc	baseline_lfcs	min_lfcs	max_lfcs
AK	0.25	0.22	0.28	0.23	0.20	0.33	0.25	0.20	0.33	6373.26	4031.57	7226.82
AL	0.11	0.05	0.19	0.16	0.13	0.25	0.12	0.05	0.25	6286.59	2368.84	8306.07
AR	0.11	0.05	0.17	0.12	0.10	0.22	0.12	0.05	0.22	6414.32	3307.28	8230.43
AZ	0.11	0.07	0.19	0.14	0.12	0.24	0.11	0.07	0.24	8657.58	4888.95	9882.75
CA	0.17	0.13	0.24	0.20	0.17	0.30	0.17	0.13	0.30	10685.51	7057.88	11828.17
CO	0.11	0.07	0.19	0.14	0.11	0.24	0.12	0.07	0.24	7859.04	4360.09	9279.93
CT	0.12	0.08	0.23	0.20	0.17	0.30	0.14	0.08	0.30	7902.98	3192.03	9444.93
DC	0.08	0.04	0.18	0.16	0.13	0.26	0.09	0.04	0.26	9094.67	4344.62	10513.14
DE	0.08	0.03	0.19	0.14	0.11	0.24	0.09	0.03	0.24	8238.09	3986.37	9993.80
FL	0.14	0.06	0.18	0.13	0.11	0.23	0.14	0.06	0.23	6763.32	4101.59	8956.00
GA	0.11	0.04	0.19	0.14	0.11	0.24	0.11	0.04	0.24	7337.63	3637.64	9295.99
HI	0.29	0.25	0.36	0.31	0.28	0.41	0.30	0.25	0.41	6525.73	3322.23	7758.39
IA	0.11	0.06	0.19	0.13	0.11	0.23	0.11	0.06	0.23	7347.70	3903.56	8854.94
ID	0.12	0.08	0.17	0.12	0.09	0.22	0.12	0.08	0.22	8955.44	6118.72	10125.76
IL	0.16	0.08	0.16	0.13	0.10	0.23	0.15	0.08	0.23	7975.66	5796.53	9990.24
IN	0.14	0.05	0.19	0.15	0.12	0.24	0.14	0.05	0.24	7166.76	4171.42	9945.22
KS	0.16	0.10	0.20	0.15	0.12	0.24	0.16	0.10	0.24	5789.02	3201.83	7388.83
KY	0.12	0.06	0.18	0.14	0.11	0.24	0.12	0.06	0.24	7192.89	3790.35	9009.07
LA	0.12	0.07	0.16	0.13	0.10	0.23	0.12	0.07	0.23	6136.81	3138.04	7775.68
MA	0.23	0.11	0.22	0.20	0.17	0.30	0.22	0.11	0.30	4898.90	2731.46	8302.76
MD	0.17	0.14	0.19	0.15	0.12	0.25	0.17	0.12	0.25	6332.92	4027.41	7177.98
ME	0.08	0.04	0.21	0.16	0.13	0.26	0.09	0.04	0.26	8492.99	3629.75	10080.91
MI	0.18	0.13	0.22	0.15	0.12	0.25	0.17	0.12	0.25	6433.27	4245.52	7603.82
MN	0.12	0.05	0.20	0.14	0.12	0.24	0.13	0.05	0.24	7091.85	3732.06	9310.68
MO	0.12	0.08	0.18	0.13	0.11	0.23	0.13	0.08	0.23	6477.54	3360.83	7914.22
MS	0.14	0.06	0.18	0.14	0.11	0.24	0.14	0.06	0.24	5590.85	2742.39	7853.63
MT	0.15	0.11	0.18	0.14	0.11	0.24	0.14	0.11	0.24	7430.71	4667.06	8383.24
NC	0.12	0.05	0.18	0.12	0.10	0.22	0.12	0.05	0.22	7088.21	4158.10	9083.62
ND	0.13	0.06	0.17	0.13	0.11	0.23	0.13	0.06	0.23	7135.61	4189.55	9034.33
NE	0.14	0.11	0.18	0.13	0.10	0.23	0.14	0.10	0.23	6592.79	4080.62	7486.33
NH	0.09	0.04	0.23	0.19	0.16	0.29	0.11	0.04	0.29	7735.92	2516.73	9721.51
NJ	0.19	0.16	0.21	0.16	0.14	0.26	0.18	0.14	0.26	6307.49	4081.61	7133.88
NM	0.12	0.07	0.20	0.14	0.12	0.24	0.12	0.07	0.24	7207.86	3816.24	8836.57
NV	0.10	0.06	0.19	0.12	0.09	0.22	0.10	0.06	0.22	10844.56	7411.80	12011.39
NY	0.09	0.03	0.23	0.19	0.16	0.29	0.11	0.03	0.29	8791.51	3655.32	11076.17
OH	0.14	0.09	0.16	0.14	0.11	0.24	0.14	0.09	0.24	7042.43	4189.07	8597.45
OK	0.11	0.06	0.17	0.12	0.09	0.22	0.11	0.06	0.22	6846.04	3755.59	8261.58
OR	0.08	0.04	0.18	0.13	0.10	0.23	0.09	0.04	0.23	10735.99	6776.84	12290.06
PA	0.16	0.05	0.18	0.13	0.10	0.23	0.15	0.05	0.23	7627.02	5496.26	10659.70
RI	0.21	0.18	0.23	0.19	0.17	0.29	0.21	0.17	0.29	5289.73	2943.35	6144.39
SC	0.14	0.08	0.20	0.15	0.12	0.24	0.14	0.08	0.24	5734.60	2792.39	7422.52
SD	0.15	0.12	0.19	0.14	0.11	0.24	0.15	0.11	0.24	6816.54	4320.58	7706.28
TN	0.14	0.05	0.17	0.15	0.12	0.24	0.14	0.05	0.24	6104.97	3005.82	8514.14
TX	0.14	0.07	0.18	0.12	0.10	0.22	0.14	0.07	0.22	6196.73	3712.05	7993.32
UT	0.14	0.11	0.18	0.13	0.10	0.22	0.14	0.10	0.22	8241.00	5802.57	9117.24
VA	0.10	0.05	0.18	0.12	0.09	0.22	0.11	0.05	0.22	7167.05	3867.67	8792.39
VT	0.13	0.09	0.24	0.19	0.16	0.28	0.14	0.09	0.28	7123.74	2990.04	8705.17
WA	0.13	0.05	0.17	0.13	0.10	0.22	0.13	0.05	0.22	10080.59	7400.84	12409.47
WI	0.11	0.05	0.21	0.15	0.12	0.25	0.12	0.05	0.25	7845.03	4034.11	9631.29
WV	0.15	0.12	0.18	0.14	0.11	0.23	0.15	0.11	0.23	6735.67	4200.92	7634.50
WY	0.15	0.08	0.19	0.14	0.11	0.24	0.15	0.08	0.24	7365.07	4747.44	9348.41
US	0.14	0.08	0.19	0.15	0.12	0.25	0.14	0.08	0.25	7316.74	4219.64	9082.33
