Model,Count,Year,Type
Chevy Volt,7671,2011,PHEV
Nissan Leaf,9674,2011,EV
Smart ED,342,2011,EV
Mitsubishi I EV,76,2011,EV
BMW Active E,0,2011,EV
Prius PHEV,0,2011,PHEV
Ford Focus EV,0,2011,EV
Honda Fit EV,0,2011,EV
Tesla Model S,0,2011,EV
Toyota RAV4 EV,0,2011,EV
Ford C-Max Energi,0,2011,PHEV
Honda Accord,0,2011,PHEV
Ford Fusion Energi,0,2011,PHEV
Chevy Spark,0,2011,EV
Fiat 500E,0,2011,EV
Porsche Panamera S E-Hybrid,0,2011,PHEV
Cadillac ELR,0,2011,PHEV
BMW i3,0,2011,EV
Mercedes B-Class (B250e),0,2011,EV
BMW i8,0,2011,PHEV
VW e-Golf,0,2011,EV
Kia Soul EV,0,2011,EV
Porsche Cayenne S E-Hybrid,0,2011,PHEV
Mercedes S550 Plug,0,2011,PHEV
Volvo-XC90 Plug In,0,2011,PHEV
Tesla Model X,0,2011,EV
BMW X5,0,2011,PHEV
Hyundai Sonata Plug In,0,2011,PHEV
Audi A3 Plug In,0,2011,PHEV
BMW 3-series Plug-In,0,2011,PHEV
Mercedes GLE 550e,0,2011,PHEV
BMW 7-series Plug-in,0,2011,PHEV
Mercedes C350We,0,2011,PHEV
Chevy Bolt,0,2011,EV
Kia Optima Plug-in,0,2011,PHEV
Hyundai Ioniq EV,0,2011,EV
Chrysler Pacifica Plug-in Hybrid,0,2011,PHEV
Cadillac CT6,0,2011,PHEV
BMW 5-Series Plug in,0,2011,PHEV
MINI Countryman S E,0,2011,PHEV
Porsche Panamera 4 E-H,0,2011,PHEV
Tesla Model 3,0,2011,EV
Honda Clarity BEV,0,2011,EV
Volvo XC60 Plug In,0,2011,PHEV
Volvo S90 Plug In,0,2011,PHEV
Honda Clarity Plug-in,0,2011,PHEV
Mitsubishi Outlander Plug In,0,2011,PHEV
Hyundai Ioniq Plug-In,0,2011,PHEV
Kia Niro Plug In,0,2011,PHEV
Mercedes GLC 350e Hybrid,0,2011,PHEV
