Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
202,CO,Low Emission Vehicle (LEV) Sales Tax Exemption,"Vehicles, vehicle power sources, or parts used for converting a vehicle
power source to reduce emissions are exempt from state sales and use
tax. Exempt vehicles include vehicles certified to federal LEV standards
that have a gross vehicle weight rating (GVWR) of over 26,000 pounds
(lbs.). The exemption also applies if the GVWR is greater than 10,000
lbs. and if the vehicle, power source, or parts used for converting the
power source meet the definition of a category 4, 4A, 4B, 4C, 7, or 7A
truck, as defined in [Colorado Revised
Statutes](http://www.lexisnexis.com/hottopics/Colorado/) 39-22-516.8.
The vehicle power source includes the engine or motor and associated
wiring, fuel lines, engine coolant system, fuel storage containers, and
other components. (Reference [Colorado Revised
Statutes](http://www.lexisnexis.com/hottopics/Colorado/) 39-26-719)
",,2014-06-06 00:00:00 UTC,FALSE,30,State Incentives,,2015-07-08 15:21:54 UTC,,,,,AFTMKTCONV|NG|LPG,EXEM|TAX,,MAN|FLEET|IND,http://www.lexisnexis.com/hottopics/michie/|http://www.leg.state.co.us/clics/cslFrontPages.nsf/HomeSplash?OpenForm
272,US,Pollution Prevention Grants Program,"The Pollution Prevention (P2) Grants Program supports state and tribal
technical assistance, education, and research programs that help
businesses and industries identify better environmental strategies and
solutions for complying with federal and state environmental
regulations. Eligible applicants include states, U.S. territories, and
qualified state agencies, colleges and universities. Local governments,
private universities, private non-profit organizations, private
businesses, and individuals are not eligible for funding. Matching funds
will be awarded and managed by the U.S. Environmental Protection
Agency\'s regional P2 program offices. Grant amounts awarded are
dependent on Congressional appropriations for this program. For more
information see the [P2
Program](https://www.epa.gov/p2/grant-programs-pollution-prevention)
website. (Reference 42 [U.S. Code](https://www.govinfo.gov/) 13104)
",,,FALSE,36,Programs,U.S. Environmental Protection Agency,,,,,,OTHER,GNT,,FLEET|GOV|IND,
288,US,Clean Cities Coalition Network,"The mission of Clean Cities Coalition Network is to foster the economic,
environmental, and energy security of the United States by working
locally to advance affordable, domestic transportation fuels and
technologies. Nearly 100 volunteer coalitions carry out this mission by
developing public/private partnerships to promote alternative and
renewable fuels, idle-reduction measures, fuel economy, improvements,
and emerging transportation technologies. The Clean Cities Coalition
Network provides information about financial opportunities, coordinates
technical assistance projects, updates and maintains databases and
websites, and publishes technical and informational materials. For more
information, see the [Clean Cities Coalition
Network](https://cleancities.energy.gov/) website.
",,,FALSE,21,Programs,U.S. Department of Energy,,,,,,AFTMKTCONV|BIOD|ETH|ELEC|EFFEC|HEV|HY|IR|NG|NEVS|PHEV|LPG,GNT|OTHER,,STATION|AFP|PURCH|MAN|FLEET|GOV|IND,
350,US,Fuel Cell Motor Vehicle Tax Credit,"A tax credit of up to \$8,000 is available for the purchase of qualified
light-duty fuel cell vehicles, depending on the vehicle\'s fuel economy.
Tax credits are also available for medium- and heavy-duty fuel cell
vehicles; credit amounts are based on vehicle weight. Vehicle
manufacturers must follow the procedures as published in [Notice
2008-33](https://www.irs.gov/pub/irs-drop/n-08-33.pdf)to certify to the
Internal Revenue Service (IRS) that a vehicle meets certain requirements
to claim the fuel cell vehicle credit. Notice 2008-33 also provides
guidance to taxpayers about claiming the credit. For more information
about claiming the credit, see IRS Form 8910, which is available on the
[IRS Forms and
Publications](http://apps.irs.gov/app/picklist/list/formsPublications.html)
website. (Reference [Public
Law](https://www.congress.gov/public-laws/116th-congress) 116-260,
[Public Law](https://www.congress.gov/public-laws/116th-congress)
116-94, [Public
Law](https://www.congress.gov/public-laws/115th-congress) 115-123,
[Public Law](https://www.congress.gov/public-laws/114th-congress)
114-113, and 26 [U.S.
Code](https://www.govinfo.gov/app/collection/uscode) 30B)
",2005-08-08 00:00:00 UTC,2020-12-27 00:00:00 UTC,FALSE,16,Incentives,U.S. Internal Revenue Service,2021-01-04 17:21:32 UTC,2021-12-31 00:00:00 UTC,,,,HY,TAX,,FLEET|IND,https://www.gpo.gov/fdsys/|www.congress.gov|https://www.congress.gov/public-laws/115th-congress|https://www.congress.gov/|https://www.congress.gov/
386,US,High Occupancy Vehicle (HOV) Lane Exemption,"States are allowed to exempt certified alternative fuel vehicles (AFVs)
and plug-in electric vehicles (PEVs) from HOV lane requirements within
the state. Eligible AFVs are defined as vehicles operating solely on
methanol, denatured ethanol, or other alcohols; a mixture containing at
least 85% methanol, denatured ethanol, or other alcohols; natural gas,
propane, hydrogen, or coal derived liquid fuels; or fuels derived from
biological materials. PEVs are defined as vehicles that are recharged
from an external source of electricity and have a battery capacity of at
least 4 kilowatt-hours. States are also allowed to establish programs
allowing low-emission and energy-efficient vehicles to pay a toll to
access HOV lanes.

Vehicles must be certified by the U.S. Environmental Protection Agency
(EPA) and appropriately labeled for use in HOV lanes. The U.S.
Department of Transportation (DOT) is responsible for planning and
implementing HOV programs, including the low-emission and
energy-efficient vehicle criteria EPA established. States that choose to
adopt these requirements will be responsible for enforcement and vehicle
labeling. The HOV exemption for AFVs and PEVs expires September 30, 2025
and low-emission and energy-efficient vehicle toll-access to HOV lanes
expires September 30, 2019.

(Reference [Public
Law](https://www.congress.gov/public-laws/114th-congress) 114-94 and 23
[U.S. Code](https://www.govinfo.gov/) 166)
",2005-08-10 00:00:00 UTC,2015-12-04 00:00:00 UTC,FALSE,59,Laws and Regulations,U.S. Department of Transportation,2015-12-14 22:09:37 UTC,,,,,BIOD|ETH|ELEC|EFFEC|HY|NG|OTHER|PHEV|LPG,,DREST,IND,http://www.gpo.gov/fdsys/|http://thomas.loc.gov/home/LegislativeData.php?&n=PublicLaws&c=112
388,US,Aftermarket Alternative Fuel Vehicle (AFV) Conversions,"Conventional original equipment manufacturer vehicles altered to operate
on propane, natural gas, methane gas, ethanol, or electricity are
classified as aftermarket AFV conversions. All vehicle conversions,
except those that are completed for a vehicle to run on electricity,
must meet current applicable U.S. Environmental Protection Agency (EPA)
standards. For more information about vehicle conversion certification
requirements, see the Alternative Fuels Data Center\'s [Vehicle
Conversions](https://afdc.energy.gov/vehicles/conversions.html) website
and EPA\'s [Certification and Compliance for Vehicles and
Engines](epa.gov/ve-certification) website. (Reference 40
[CFR](https://www.govinfo.gov/) 85 and [Enforcement Policy on Vehicle
and Engine Tampering and Aftermarket Defeat
Devices](https://www.epa.gov/sites/default/files/2020-12/documents/epatamperingpolicy-enforcementpolicyonvehicleandenginetampering.pdf))
",2011-04-08 00:00:00 UTC,2011-03-30 00:00:00 UTC,FALSE,37,Laws and Regulations,U.S. Environmental Protection Agency,,,,,,AFTMKTCONV|ETH|ELEC|HEV|NG|PHEV|LPG,,AIRQEMISSIONS,MAN|FLEET|GOV|IND,http://www.gpo.gov/fdsys/
409,US,Qualified Plug-In Electric Vehicle (PEV) Tax Credit,"A tax credit is available for the purchase of a new qualified PEV that
draws propulsion using a traction battery that has at least five
kilowatt-hours (kWh) of capacity, uses an external source of energy to
recharge the battery, has a gross vehicle weight rating of up to 14,000
pounds, and meets specified emission standards. The minimum credit
amount is \$2,500, and the credit may be up to \$7,500, based on each
vehicle\'s traction battery capacity and the gross vehicle weight
rating. The credit will begin to be phased out for each manufacturer in
the second quarter following the calendar quarter in which a minimum of
200,000 qualified PEVs have been sold by that manufacturer for use in
the United States. This tax credit applies to vehicles acquired after
December 31, 2009. For more information, including qualifying vehicles
and sales by manufacturer, see the Internal Revenue Service (IRS) [PEV
Credit](http://www.irs.gov/Businesses/Plug-In-Electric-Vehicle-Credit-IRC-30-and-IRC-30D)
website. Also refer to IRS Form 8936, which is available via the [IRS
Forms and
Publications](http://apps.irs.gov/app/picklist/list/formsPublications.html)
website.

(Reference [Public
Law](https://www.congress.gov/public-laws/112th-congress) 112-240,
Section 403; and 26 [U.S. Code](https://www.govinfo.gov/) 30D)
",2008-10-03 00:00:00 UTC,2013-01-02 00:00:00 UTC,FALSE,18,Incentives,U.S. Internal Revenue Service,,,,,,ELEC|PHEV,TAX,,FLEET|IND,http://thomas.loc.gov/home/LegislativeData.php?&n=PublicLaws&c=112|http://www.gpo.gov/fdsys/
4153,AL,Alternative Fuel Taxes,"The state road tax for vehicles that operate on propane (liquefied
petroleum gas or LPG) is paid through the purchase of an annual flat fee
sticker, and the amount is based on the vehicle\'s gross vehicle weight
rating. Each person owning and/or operating a vehicle that operates on
propane must obtain a decal annually from the Alabama LPG Board. The
decal must be affixed to the vehicle according to LPG Board
specification as proof that the issuance fee and decal fee have been
paid. Vehicle owners must apply for a decal within 10 days of converting
a vehicle to operate on propane, or a 20% penalty will be applied to the
decal fee. Out-of-state alternative fuel vehicle operators that purchase
propane within the state must pay the current Alabama motor fuel tax or
they may elect to purchase the annual flat fee decal. The propane dealer
or supplier must remit these funds to the LPG Board before the 20th of
the month following the date of sale.

Similarly, the Alabama Department of Revenue administers an excise tax
on compressed natural gas (CNG) and liquefied natural gas (LNG) used as
vehicle fuel. Taxes are applied in the following amounts:

CNG:

-   \$0.08 per gasoline gallon equivalent (GGE) until September 30,
    2023;
-   \$0.13 per GGE from October 1, 2023, until September 30, 2028; and
-   \$0.18 per GGE from October 1, 2028 and beyond.

LNG:

-   \$0.08 per diesel gallon equivalent (DGE) until September 30, 2023;
-   \$0.13 per DGE from October 1, 2023, until September 30, 2028; and
-   \$0.18 per DGE from October 1, 2028 and beyond.

A GGE will be equal to 5.66 pounds (lbs.) or 126.67 cubic feet of
natural gas for CNG and a DGE is equal to 6.06 lbs. for LNG.

(Reference [Code of
Alabama](http://alisondb.legislature.state.al.us/alison/CodeOfAlabama/1975/Coatoc.htm)
40-17-160 through 40-17-165 and 40-17-168.2)
",,2014-04-03 00:00:00 UTC,FALSE,24,Laws and Regulations,,2017-07-11 01:27:54 UTC,,,,,NG|LPG,,FUEL,FLEET|GOV|IND,http://alisondb.legislature.state.al.us/acas/ACASLogin.asp|http://www.legislature.state.al.us/
4178,AZ,Alternative Fuel Vehicle (AFV) Emissions Test Exemption,"Qualified AFVs registered for the first time in Arizona are not required
to complete emissions testing. This exemption does not apply after the
first registration year. All AFVs, excluding electric, solar, and
hydrogen vehicles, used to commute into Phoenix or Tucson, are required
to be emissions tested before they are registered. For more information,
visit the [Arizona Department of Environmental
Quality](https://www.azdeq.gov/) website. (Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 49-542 and
49-542.05)
",2016-01-01 00:00:00 UTC,,FALSE,42,State Incentives,,2015-05-13 18:37:27 UTC,,,,,ELEC|HY|NG|LPG,EXEM,,FLEET|GOV|IND,http://www.azleg.gov/ArizonaRevisedStatutes.asp
4179,AZ,Reduced Alternative Fuel Vehicle (AFV) License Tax,"The vehicle license tax for an AFV registered in Arizona is \$4 for
every \$100 in assessed value. The minimum amount of the annual AFV
license tax is \$5. AFV assessed values are determined as follows:

-   AFVs registered prior to January 1, 2022: 1% of the manufacturer's
    suggested retail price (MSRP)
-   AFVs initially registered between January 1, 2022 and December 31,
    2022: 20% of the MSRP.

For each succeeding year, for the purpose of calculating the license
tax, the value of the AFV is reduced by 15% from the value from the
preceding year.

For the purpose of this tax, AFVs include those powered exclusively by
propane, natural gas, electricity, hydrogen, or a blend of hydrogen with
propane or natural gas. For more information, see the ADOT
[AFV](https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle)
website. The reduced alternative fuel vehicle license tax does not apply
to any vehicle purchased on or after December 31, 2022.

(Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 1-215,
28-5801, 28-5805)
",2018-04-25 00:00:00 UTC,2019-06-07 00:00:00 UTC,FALSE,30,State Incentives,,2019-06-28 23:33:14 UTC,,,,,ELEC|HY|NG|PHEV|LPG,TAX,,FLEET|GOV|IND,http://www.azleg.gov/ArizonaRevisedStatutes.asp|https://www.azleg.gov/|https://www.azleg.gov/
